filename, language, JSON, Markdown, C++, Python, CMake, C, GLSL, Properties, comment, blank, total
d:\Coding\SakuraEngine\CMakeSettings.json, JSON, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
d:\Coding\SakuraEngine\DependencyGraph\DAGUnitTests\UnitTestDependencyGraph.cpp, C++, 0, 0, 64, 0, 0, 0, 0, 0, 17, 12, 93
d:\Coding\SakuraEngine\DependencyGraph\DAGUnitTests\UnitTestDependencyGraph.h, C++, 0, 0, 24, 0, 0, 0, 0, 0, 10, 5, 39
d:\Coding\SakuraEngine\DependencyGraph\Graph.h, C++, 0, 0, 156, 0, 0, 0, 0, 0, 21, 34, 211
d:\Coding\SakuraEngine\Extern\include\SDL2Tools\SDL2Vk.hpp, C++, 0, 0, 56, 0, 0, 0, 0, 0, 26, 3, 85
d:\Coding\SakuraEngine\Extern\include\json\README.md, Markdown, 0, 688, 0, 0, 0, 0, 0, 0, 0, 216, 904
d:\Coding\SakuraEngine\Extern\include\json\json.hpp, C++, 0, 0, 6928, 0, 0, 0, 0, 0, 5075, 1001, 13004
d:\Coding\SakuraEngine\Extern\include\tinydir\README.md, Markdown, 0, 57, 0, 0, 0, 0, 0, 0, 0, 23, 80
d:\Coding\SakuraEngine\Extern\include\tinydir\package.json, JSON, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
d:\Coding\SakuraEngine\Extern\include\tinydir\tinydir.h, C++, 0, 0, 659, 0, 0, 0, 0, 0, 69, 77, 805
d:\Coding\SakuraEngine\Extern\include\version\README.md, Markdown, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
d:\Coding\SakuraEngine\Extern\include\version\version.h, C++, 0, 0, 192, 0, 0, 0, 0, 0, 129, 36, 357
d:\Coding\SakuraEngine\Extern\include\whereami\.gitattributes, Properties, 0, 0, 0, 0, 0, 0, 0, 16, 7, 8, 31
d:\Coding\SakuraEngine\Extern\include\whereami\README.md, Markdown, 0, 88, 0, 0, 0, 0, 0, 0, 0, 45, 133
d:\Coding\SakuraEngine\Extern\include\whereami\src\whereami.c, C, 0, 0, 0, 0, 0, 536, 0, 0, 3, 125, 664
d:\Coding\SakuraEngine\Extern\include\whereami\src\whereami.h, C++, 0, 0, 19, 0, 0, 0, 0, 0, 39, 8, 66
d:\Coding\SakuraEngine\Extern\xxHash\xxh3.h, C++, 0, 0, 1113, 0, 0, 0, 0, 0, 307, 194, 1614
d:\Coding\SakuraEngine\Extern\xxHash\xxhash.c, C, 0, 0, 0, 0, 0, 701, 0, 0, 232, 178, 1111
d:\Coding\SakuraEngine\Extern\xxHash\xxhash.h, C++, 0, 0, 229, 0, 0, 0, 0, 0, 278, 81, 588
d:\Coding\SakuraEngine\Extern\xxHash\xxhsum.c, C, 0, 0, 0, 0, 0, 1352, 0, 0, 210, 246, 1808
d:\Coding\SakuraEngine\README.en-US.md, Markdown, 0, 61, 0, 0, 0, 0, 0, 0, 9, 5, 75
d:\Coding\SakuraEngine\README.md, Markdown, 0, 34, 0, 0, 0, 0, 0, 0, 9, 21, 64
d:\Coding\SakuraEngine\SPAUnitTest\UnitTestSPA.cpp, C++, 0, 0, 21, 0, 0, 0, 0, 0, 26, 1, 48
d:\Coding\SakuraEngine\SPAUnitTest\plugin_0\meta.h, C++, 0, 0, 40, 0, 0, 0, 0, 0, 3, 4, 47
d:\Coding\SakuraEngine\SPAUnitTest\plugin_0\meta.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
d:\Coding\SakuraEngine\SPAUnitTest\plugin_0\plugin_0.cpp, C++, 0, 0, 9, 0, 0, 0, 0, 0, 9, 3, 21
d:\Coding\SakuraEngine\SPAUnitTest\plugin_0\plugin_0.h, C++, 0, 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
d:\Coding\SakuraEngine\SPAUnitTest\plugin_1\meta.h, C++, 0, 0, 43, 0, 0, 0, 0, 0, 3, 4, 50
d:\Coding\SakuraEngine\SPAUnitTest\plugin_1\meta.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
d:\Coding\SakuraEngine\SPAUnitTest\plugin_1\plugin_1.cpp, C++, 0, 0, 9, 0, 0, 0, 0, 0, 9, 3, 21
d:\Coding\SakuraEngine\SPAUnitTest\plugin_1\plugin_1.h, C++, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
d:\Coding\SakuraEngine\SPAUnitTest\plugin_main\mainmeta.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
d:\Coding\SakuraEngine\SPAUnitTest\plugin_main\meta.h, C++, 0, 0, 44, 0, 0, 0, 0, 0, 3, 4, 51
d:\Coding\SakuraEngine\SPAUnitTest\plugin_main\plugin_main.cpp, C++, 0, 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
d:\Coding\SakuraEngine\SPAUnitTest\plugin_main\plugin_main.h, C++, 0, 0, 9, 0, 0, 0, 0, 0, 9, 3, 21
d:\Coding\SakuraEngine\SPA\ModuleCollector.py, Python, 0, 0, 0, 99, 0, 0, 0, 0, 2, 6, 107
d:\Coding\SakuraEngine\SPA\README.md, Markdown, 0, 91, 0, 0, 0, 0, 0, 0, 0, 5, 96
d:\Coding\SakuraEngine\SPA\anyToheader.py, Python, 0, 0, 0, 61, 0, 0, 0, 0, 3, 6, 70
d:\Coding\SakuraEngine\SPA\include\confinfo.h, C++, 0, 0, 93, 0, 0, 0, 0, 0, 70, 49, 212
d:\Coding\SakuraEngine\SPA\include\imodule.h, C++, 0, 0, 47, 0, 0, 0, 0, 0, 48, 8, 103
d:\Coding\SakuraEngine\SPA\include\moduleininfo.h, C++, 0, 0, 26, 0, 0, 0, 0, 0, 20, 3, 49
